date,mob_Callao,mob_LimaDep,mob_LimaProv,tran_LimaMet,traf_LimaMet
"March 2, 2020",0.010,0.005,0.003,0.000,0.000
"March 3, 2020",0.000,0.017,0.005,0.000,0.000
"March 4, 2020",-0.001,0.005,0.010,0.000,0.000
"March 5, 2020",0.008,0.005,0.013,0.000,0.000
"March 6, 2020",0.010,0.002,0.008,0.000,0.000
"March 7, 2020",0.010,0.003,0.005,0.000,0.000
"March 8, 2020",0.002,0.003,-0.003,0.000,0.000
"March 9, 2020",-0.001,-0.001,-0.005,0.030,0.030
"March 10, 2020",-0.010,-0.002,-0.008,0.010,0.020
"March 11, 2020",-0.025,-0.013,-0.022,-0.010,-0.020
"March 12, 2020",-0.033,-0.008,-0.037,-0.040,-0.130
"March 13, 2020",-0.051,-0.010,-0.065,-0.070,-0.140
"March 14, 2020",-0.086,-0.008,-0.100,-0.110,-0.160
"March 15, 2020",-0.154,-0.038,-0.180,-0.130,-0.280
"March 16, 2020",-0.276,-0.125,-0.321,-0.120,-0.630
"March 17, 2020",-0.399,-0.230,-0.454,-0.220,-0.870
"March 18, 2020",-0.500,-0.313,-0.555,-0.320,-0.890
"March 19, 2020",-0.534,-0.343,-0.589,-0.440,-0.920
"March 20, 2020",-0.548,-0.364,-0.610,-0.540,-0.930
"March 21, 2020",-0.552,-0.385,-0.612,-0.640,-0.930
"March 22, 2020",-0.547,-0.379,-0.604,-0.760,-0.900
"March 23, 2020",-0.579,-0.421,-0.635,-0.830,-0.900
"March 24, 2020",-0.595,-0.430,-0.644,-0.870,-0.920
"March 25, 2020",-0.608,-0.462,-0.653,-0.880,-0.930
"March 26, 2020",-0.579,-0.424,-0.614,-0.890,-0.930
"March 27, 2020",-0.564,-0.416,-0.598,-0.900,-0.910
"March 28, 2020",-0.556,-0.417,-0.594,-0.900,-0.900
"March 29, 2020",-0.552,-0.418,-0.598,-0.900,-0.880
"March 30, 2020",-0.549,-0.413,-0.598,-0.900,-0.880
"March 31, 2020",-0.545,-0.388,-0.589,-0.910,-0.900
"April 1, 2020",-0.546,-0.385,-0.581,-0.900,-0.900
"April 2, 2020",-0.552,-0.401,-0.587,-0.900,-0.910
"April 3, 2020",-0.571,-0.393,-0.605,-0.910,-0.920
"April 4, 2020",-0.623,-0.456,-0.658,-0.910,-0.920
"April 5, 2020",-0.645,-0.467,-0.675,-0.910,-0.940
"April 6, 2020",-0.657,-0.495,-0.686,-0.910,-0.850
"April 7, 2020",-0.609,-0.443,-0.637,-0.920,-0.920
"April 8, 2020",-0.646,-0.453,-0.671,-0.930,-0.910
"April 9, 2020",-0.691,-0.507,-0.712,-0.930,-0.960
"April 10, 2020",-0.697,-0.519,-0.717,-0.940,-0.970
"April 11, 2020",-0.691,-0.532,-0.714,-0.940,-0.920
"April 12, 2020",-0.600,-0.427,-0.636,-0.940,-0.950
"April 13, 2020",-0.567,-0.361,-0.614,-0.940,-0.890
"April 14, 2020",-0.502,-0.285,-0.556,-0.940,-0.920
"April 15, 2020",-0.518,-0.310,-0.573,-0.940,-0.920
"April 16, 2020",-0.532,-0.332,-0.585,-0.940,-0.920
"April 17, 2020",-0.534,-0.331,-0.587,-0.930,-0.920
"April 18, 2020",-0.575,-0.374,-0.620,-0.930,-0.910
"April 19, 2020",-0.587,-0.409,-0.632,-0.930,-0.950
"April 20, 2020",-0.606,-0.452,-0.661,-0.930,-0.890
"April 21, 2020",-0.579,-0.438,-0.643,-0.930,-0.920
"April 22, 2020",-0.551,-0.376,-0.617,-0.930,-0.910
"April 23, 2020",-0.533,-0.341,-0.590,-0.930,-0.910
"April 24, 2020",-0.520,-0.319,-0.566,-0.940,-0.910
"April 25, 2020",-0.604,-0.431,-0.635,-0.940,-0.910
"April 26, 2020",-0.611,-0.458,-0.641,-0.930,-0.950
"April 27, 2020",-0.606,-0.467,-0.643,-0.930,-0.860
"April 28, 2020",-0.536,-0.388,-0.587,-0.930,-0.900
"April 29, 2020",-0.548,-0.395,-0.604,-0.920,-0.900
"April 30, 2020",-0.597,-0.433,-0.653,-0.920,-0.900
"May 1, 2020",-0.612,-0.464,-0.668,-0.920,-0.930
"May 2, 2020",-0.671,-0.543,-0.725,-0.920,-0.900
"May 3, 2020",-0.623,-0.506,-0.682,-0.920,-0.950
"May 4, 2020",-0.632,-0.505,-0.690,-0.920,-0.860
"May 5, 2020",-0.576,-0.426,-0.634,-0.920,-0.890
"May 6, 2020",-0.598,-0.450,-0.654,-0.920,-0.890
"May 7, 2020",-0.588,-0.448,-0.646,-0.920,-0.880
"May 8, 2020",-0.566,-0.423,-0.626,-0.910,-0.880
"May 9, 2020",-0.627,-0.481,-0.675,-0.910,-0.880
"May 10, 2020",-0.622,-0.477,-0.671,-0.910,-0.950
"May 11, 2020",-0.623,-0.483,-0.675,-0.900,-0.850
"May 12, 2020",-0.559,-0.412,-0.616,-0.900,-0.880
"May 13, 2020",-0.564,-0.418,-0.622,-0.900,-0.880
"May 14, 2020",-0.567,-0.415,-0.623,-0.900,-0.890
"May 15, 2020",-0.551,-0.420,-0.617,-0.900,-0.890
"May 16, 2020",-0.620,-0.487,-0.677,-0.890,-0.890
"May 17, 2020",-0.613,-0.484,-0.669,-0.890,-0.950
"May 18, 2020",-0.627,-0.474,-0.675,-0.880,-0.840
"May 19, 2020",-0.542,-0.377,-0.594,-0.880,-0.870
"May 20, 2020",-0.548,-0.378,-0.597,-0.880,-0.880
"May 21, 2020",-0.537,-0.380,-0.588,-0.880,-0.890
"May 22, 2020",-0.528,-0.373,-0.580,-0.880,-0.890
"May 23, 2020",-0.594,-0.432,-0.644,-0.880,-0.880
"May 24, 2020",-0.573,-0.397,-0.621,-0.880,-0.950
"May 25, 2020",-0.578,-0.388,-0.616,-0.870,-0.770
"May 26, 2020",-0.509,-0.341,-0.543,-0.860,-0.820
"May 27, 2020",-0.524,-0.375,-0.556,-0.860,-0.830
"May 28, 2020",-0.549,-0.439,-0.586,-0.850,-0.840
"May 29, 2020",-0.545,-0.439,-0.572,-0.850,-0.840
"May 30, 2020",-0.625,-0.510,-0.651,-0.840,-0.830
"May 31, 2020",-0.613,-0.489,-0.637,-0.840,-0.920
"June 1, 2020",-0.625,-0.508,-0.666,-0.830,-0.760
"June 2, 2020",-0.541,-0.429,-0.583,-0.840,-0.790
"June 3, 2020",-0.526,-0.408,-0.572,-0.840,-0.780
"June 4, 2020",-0.513,-0.387,-0.555,-0.840,-0.790
"June 5, 2020",-0.505,-0.374,-0.542,-0.830,-0.790
"June 6, 2020",-0.594,-0.467,-0.632,-0.830,-0.780
"June 7, 2020",-0.581,-0.454,-0.620,-0.830,-0.910
"June 8, 2020",-0.578,-0.462,-0.628,-0.820,-0.690
"June 9, 2020",-0.490,-0.372,-0.534,-0.820,-0.750
"June 10, 2020",-0.491,-0.373,-0.529,-0.820,-0.760
"June 11, 2020",-0.487,-0.361,-0.515,-0.820,-0.780
"June 12, 2020",-0.472,-0.342,-0.499,-0.820,-0.730
"June 13, 2020",-0.555,-0.411,-0.590,-0.810,-0.710
"June 14, 2020",-0.545,-0.406,-0.581,-0.810,-0.910
"June 15, 2020",-0.541,-0.431,-0.590,-0.810,-0.550
"June 16, 2020",-0.454,-0.374,-0.501,-0.810,-0.650
"June 17, 2020",-0.469,-0.403,-0.523,-0.800,-0.650
"June 18, 2020",-0.474,-0.401,-0.517,-0.800,-0.650
"June 19, 2020",-0.460,-0.380,-0.494,-0.800,-0.640
"June 20, 2020",-0.543,-0.445,-0.578,-0.790,-0.570
"June 21, 2020",-0.548,-0.447,-0.582,-0.790,-0.860
"June 22, 2020",-0.558,-0.457,-0.600,-0.780,-0.610
"June 23, 2020",-0.454,-0.376,-0.499,-0.780,-0.650
"June 24, 2020",-0.452,-0.374,-0.499,-0.780,-0.600
